fips,TOT_POP,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_number,COPD_number,diabetes_number,CKD_number,Urban_rural_code,Obesity_number
2195,3221,3221,-38,44,6.8,13.0,-6.2,4.3,-9.9,-5.6,219,680,647,589,10.3,31.9,30.3,27.6,232,7.2,9.5,8.9,66075,59419,72731,1404,1282,122,8.7,66075,88.2,276.9,256.7,112.8,105.6,9.6,8.5,2.096555914,1.511267388,0.091724321,0.952185811,2.585752294,3.695179798,0,3275,778,23.8,2,195,2551,978,190,278,77,6,704
47139,16898,16898,133,244,10.2,13.8,-3.7,0.0,11.6,11.6,2402,4772,3680,1344,19.7,39.1,30.2,11.0,2623,15.8,22.4,22.8,41968,37665,46271,7281,6976,305,4.2,41968,80.1,253.1,225.8,85.1,77.8,8.1,7.4,14.34705473,2.975241691,0.287040935,8.953181162,6.205076211,25.21717014,0,16722,4308,25.8,47,139,13592,7621,1768,2055,511,4,5233
28067,68461,68461,149,2233,12.8,11.7,1.1,0.4,0.8,1.2,7496,13690,14461,9216,16.7,30.5,32.2,20.5,13223,19.9,28.6,28.7,42435,38160,46710,25613,24391,1222,4.8,42435,94.8,191.3,174.8,65.9,61.2,7.1,6.7,47.81791778,2.452788688,2.269402618,27.02652208,25.14681487,77.50353789,14,68328,14853,21.7,28,67,51285,27496,5029,7585,1857,5,21181
48189,33830,33830,-214,2754,12.4,8.6,3.8,0.8,-10.9,-10.1,4976,7081,5382,3454,23.8,33.9,25.8,16.5,5715,18.4,26.2,25.1,42782,38703,46861,12540,11936,604,4.8,42782,70.6,224.8,199.9,72.9,66.5,6.2,5.4,11.66883174,6.886968068,0.616444344,12.80035482,11.32937482,39.95455135,5,34527,6124,17.7,48,189,24670,12481,1792,3492,838,5,9597
20169,54401,54401,-128,1470,11.5,9.1,2.4,-0.2,-4.5,-4.7,3419,11501,12420,9701,9.2,31.0,33.5,26.2,5812,11.0,15.8,14.6,53961,49132,58790,30094,29170,924,3.1,53961,92.8,227.6,206.5,88.0,80.5,6.8,6.3,30.68050441,15.54578543,2.597192517,22.5152301,33.42717564,71.24528826,18,55334,12413,22.4,20,169,41812,19408,3097,4882,1264,5,16265
1027,13275,13275,-92,255,9.6,13.3,-3.7,-0.1,-3.2,-3.2,2275,3366,2700,944,24.5,36.3,29.1,10.2,2285,17.6,25.8,25.0,39201,35145,43257,5963,5730,233,3.9,39201,78.6,217.1,196.7,77.2,71.2,7.6,6.9,6.890254469,1.45300991,0.274306544,6.205846063,5.073313105,17.22427822,4,13407,3480,26.0,1,27,10587,5575,1287,1732,418,6,3801
19173,6191,6191,43,51,10.9,12.6,-1.8,0.2,8.6,8.8,422,1691,1559,642,9.8,39.2,36.1,14.9,782,12.8,15.6,14.4,47781,43259,52303,3227,3163,64,2.0,47781,79.5,218.2,193.1,84.8,77.9,6.9,6.5,3.770137937,1.673219386,0.231465284,2.506886724,4.238953217,8.016937435,0,6214,1749,28.1,19,173,4736,2307,393,585,164,6,1658
19043,17556,17556,-94,270,10.4,11.1,-0.7,0.6,-5.3,-4.7,1113,5502,3848,2166,8.8,43.6,30.5,17.2,1627,9.4,13.2,12.0,53968,48693,59243,10133,9812,321,3.2,53968,89.8,218.2,193.1,84.8,77.9,6.9,6.5,10.69109056,4.744797213,0.656372885,7.108852096,12.02052377,22.73386426,0,17711,5374,30.3,19,43,13851,6267,1154,1691,482,6,5236
48363,28875,28875,300,268,12.1,12.3,-0.1,0.6,10.0,10.5,3099,6953,6066,3187,16.1,36.0,31.4,16.5,4529,15.9,25.0,23.4,46067,41492,50642,13504,13050,454,3.4,46067,76.0,224.8,199.9,72.9,66.5,6.2,5.4,9.959725586,5.878250161,0.5261552,10.92551716,9.669988114,34.10250282,8,28109,7221,25.7,48,363,22164,11269,2132,3199,806,5,8577
13263,6272,6272,15,0,8.1,13.1,-4.9,0.0,7.5,7.5,926,2108,1148,572,19.5,44.3,24.1,12.0,1550,24.8,39.5,39.0,37265,33186,41344,2835,2692,143,5.0,37265,63.6,228.7,202.9,79.1,71.9,7.0,6.1,2.870835284,1.983648804,0.086452984,2.968020362,2.033731912,7.624556929,0,6423,2045,31.8,13,263,5256,2888,617,1100,255,6,2055
48017,7027,7027,-27,106,18.6,5.1,13.5,3.0,-20.3,-17.3,1142,1553,932,780,25.9,35.2,21.1,17.7,1087,15.8,26.1,24.1,45051,40390,49712,2655,2539,116,4.4,45051,74.3,224.8,199.9,72.9,66.5,6.2,5.4,2.42379192,1.430526888,0.128044765,2.658826288,2.35328161,8.299161465,0,7098,1519,21.4,48,17,4821,2359,370,708,172,6,1798
13051,289195,289195,-65,14891,12.8,8.8,4.0,1.8,-5.9,-4.1,19951,46729,61594,63823,10.4,24.3,32.1,33.2,39488,14.4,20.0,19.8,54165,50464,57866,140971,135719,5252,3.7,54165,92.4,228.7,202.9,79.1,71.9,7.0,6.1,132.3710475,91.46385775,3.98625169,136.8521442,93.77313459,351.5599077,78,285506,56014,19.6,13,51,227916,89155,15929,28675,7079,3,72933
36037,57511,57511,-305,1947,9.8,11.0,-1.2,0.3,-4.4,-4.1,3277,15105,13992,8891,7.9,36.6,33.9,21.5,5494,9.9,14.1,12.3,58925,55183,62667,29796,28551,1245,4.2,58925,87.1,375.1,304.1,112.9,94.8,10.2,7.4,37.11306235,26.17131579,0.48852338,60.97713518,19.0700693,143.9319367,10,58537,13935,23.8,36,37,45812,20797,4149,5362,1420,5,14751
27051,6021,6021,83,110,11.4,9.0,2.3,0.0,11.5,11.5,270,1427,1716,822,6.4,33.7,40.5,19.4,583,9.9,14.4,13.7,54917,50282,59552,3303,3172,131,4.0,54917,78.1,302.7,265.0,104.9,96.0,7.4,6.6,3.090345184,1.944342178,0.136275638,3.449812419,3.762066047,10.06830169,0,5923,1742,29.4,27,51,4657,2043,312,511,155,6,1658
46031,4165,4165,-42,1,23.7,14.1,9.6,0.7,-20.1,-19.4,390,791,738,392,16.9,34.2,31.9,17.0,1394,33.6,41.4,36.7,34024,30693,37355,1379,1322,57,4.1,34024,59.6,240.4,219.1,92.8,84.8,9.2,8.6,2.233016146,1.907269605,0.269094969,1.600406921,2.554041724,4.522683865,0,4177,665,15.9,46,31,2627,1565,296,484,128,6,1229
28121,153902,153902,983,5893,11.2,7.9,3.3,1.1,2.1,3.2,10913,27165,35159,30215,10.5,26.3,34.0,29.2,14162,9.6,12.0,11.2,66296,63379,69213,76149,73554,2595,3.4,66296,148.2,191.3,174.8,65.9,61.2,7.1,6.7,107.495847,5.513928874,5.10167251,60.7562817,56.53065397,174.229846,18,149645,29151,19.5,28,121,118231,55615,8554,12996,3264,3,45755
29215,25571,25571,-114,1894,11.0,10.7,0.4,-0.3,-4.5,-4.8,3048,7304,5377,2590,16.6,39.9,29.4,14.1,5806,24.6,34.8,31.8,34824,31681,37967,9043,8673,370,4.1,34824,64.0,273.1,236.3,86.6,79.0,7.0,6.3,14.26210586,2.775622008,0.509211857,15.90660973,11.41970197,45.34907235,4,25714,6773,26.3,29,215,20139,11141,2507,2989,795,6,8619
29035,6054,6054,-113,40,13.1,16.0,-2.9,-0.2,-15.5,-15.7,708,1568,1231,694,16.9,37.3,29.3,16.5,1355,22.6,35.3,35.2,34134,30714,37554,2513,2384,129,5.1,34134,62.7,273.1,236.3,86.6,79.0,7.0,6.3,3.376590235,0.657135647,0.120557216,3.765930754,2.703643806,10.73650948,0,6255,1620,25.9,29,35,4634,2295,533,628,167,6,1664
37077,60115,60115,741,4100,9.7,9.9,-0.2,-0.2,12.9,12.6,6522,12936,12677,9243,15.8,31.3,30.6,22.3,7331,13.0,19.1,18.4,58956,54412,63500,29943,28929,1014,3.4,58956,109.3,255.0,223.5,86.2,78.1,7.1,6.2,27.30863177,24.55866355,0.648413559,29.26545126,23.29657287,86.71952412,6,58503,13167,22.5,37,77,47843,22123,4164,6678,1664,5,16410
12129,32461,32461,360,2592,10.2,8.1,2.1,0.8,8.3,9.2,2773,8253,7732,4225,12.1,35.9,33.6,18.4,3543,11.9,16.2,15.4,58203,53658,62748,14767,14307,460,3.1,58203,105.0,265.2,240.7,86.8,80.1,6.9,6.0,18.83712089,9.285969062,0.330716443,17.67123113,12.61904215,44.35410432,0,31586,6317,20.0,12,129,25516,11336,2313,2987,774,3,9288
32015,5575,5575,-29,16,14.3,6.4,7.9,1.3,-14.3,-13.1,558,1428,1280,427,15.1,38.7,34.7,11.6,616,11.1,13.7,13.2,79278,70830,87726,3151,3034,117,3.7,79278,135.0,213.5,185.8,72.3,65.0,5.6,5.0,1.545144793,0.971916285,0.080839918,2.592389184,1.655381045,5.669817875,0,5887,1155,19.6,32,15,4093,1823,374,486,133,6,1314
42111,73952,73952,-404,4973,8.6,12.8,-4.2,0.7,-1.9,-1.2,6647,27921,12490,8628,11.9,50.1,22.4,15.5,8289,12.0,18.6,17.3,50504,48610,52398,33553,31840,1713,5.1,50504,82.9,320.5,273.3,100.8,88.2,8.7,7.2,40.43752868,32.73459233,1.149088706,59.91429352,41.59816601,154.5610924,14,75619,21498,28.4,42,111,60728,31878,5915,7728,2100,5,22652
48371,15673,15673,55,2077,11.7,6.5,5.2,-0.1,-1.6,-1.7,3225,3858,2465,1032,30.5,36.5,23.3,9.8,2650,19.5,24.3,24.2,47008,42044,51972,6486,6253,233,3.6,47008,77.5,224.8,199.9,72.9,66.5,6.2,5.4,5.406018324,3.190642936,0.285590665,5.930238283,5.248752336,18.51042517,0,15804,2754,17.4,48,371,11852,5876,789,1743,397,6,4622
39047,28666,28666,11,593,10.7,11.4,-0.7,0.5,0.8,1.2,2713,9238,4450,3154,13.9,47.2,22.8,16.1,4227,15.1,23.0,20.2,47733,43432,52034,14079,13497,582,4.1,47733,85.0,292.7,248.6,93.7,83.7,8.3,7.1,14.80943008,5.483339239,0.475745891,19.38787121,13.25712519,55.86826232,6,28659,6536,22.8,39,47,21973,12215,2444,2949,731,5,8701
48483,5191,5191,-135,40,12.6,12.6,0.0,0.8,-26.6,-25.9,694,1109,1293,616,18.7,29.9,34.8,16.6,721,14.0,20.9,19.9,48018,42709,53327,2474,2396,78,3.2,48018,79.2,224.8,199.9,72.9,66.5,6.2,5.4,1.790508589,1.056761787,0.094589494,1.964133665,1.738421067,6.130773753,0,5599,1286,23.0,48,483,3890,1950,371,561,145,6,1416
40151,8897,8897,-167,999,11.4,11.0,0.3,0.8,-19.7,-18.9,627,1725,1662,1773,10.8,29.8,28.7,30.6,1194,15.2,17.0,17.1,51715,46486,56944,4632,4532,100,2.2,51715,99.6,206.7,189.1,73.9,68.5,6.2,5.8,2.551941516,2.906189808,0.282044818,2.976136922,5.099370314,10.51914354,0,9132,2000,21.9,40,151,7088,3101,526,699,197,6,2382
29061,8313,8313,-46,152,13.3,10.4,2.9,0.1,-8.6,-8.5,844,2245,1421,999,15.3,40.8,25.8,18.1,1212,14.9,26.0,24.4,51255,50087,52423,4048,3926,122,3.0,51255,94.2,273.1,236.3,86.6,79.0,7.0,6.3,4.636536939,0.902340376,0.165542144,5.17115665,3.712486118,14.74274915,0,8300,2185,26.3,29,61,6197,3062,688,809,218,6,2169
16007,6050,6050,19,31,13.7,10.8,3.0,0.3,-0.2,0.2,244,1523,1360,795,6.2,38.8,34.7,20.3,642,10.7,14.4,13.6,53780,48194,59366,2835,2753,82,2.9,53780,96.9,192.6,181.6,73.9,68.9,5.8,5.5,2.372808698,2.131389208,0.155198243,1.341602592,3.179839563,4.811145543,0,5942,1565,26.3,16,7,4433,1840,351,538,150,6,1410
6077,752660,752660,10144,15023,13.6,7.4,6.2,1.5,5.9,7.4,96905,129211,147635,84486,21.1,28.2,32.2,18.4,105351,14.3,20.5,20.5,63567,61395,65739,326387,306816,19571,6.0,63567,84.5,279.6,243.8,96.2,87.1,7.2,6.2,293.2853362,150.6383811,6.830766555,425.5053829,289.1754599,1118.247859,121,724153,123774,17.1,6,77,548344,238078,34614,66030,17092,3,182599
